web-scraper-order,web-scraper-start-url,movies,
"1525943565-17780","https://bechdeltest.com/?list=all","Electricity","null"
"1525943565-18981","https://bechdeltest.com/?list=all","Le Chat du Rabbin","null"
"1525943565-17021","https://bechdeltest.com/?list=all","The Mad Ones","null"
"1525943565-18653","https://bechdeltest.com/?list=all","Moonrise Kingdom","null"
"1525943565-18796","https://bechdeltest.com/?list=all","A Lonely Place to Die","null"
"1525943565-20072","https://bechdeltest.com/?list=all","""Masters of Horror"" Dream Cruise","null"
"1525943565-20765","https://bechdeltest.com/?list=all","A Cinderella Story","null"
"1525943565-17898","https://bechdeltest.com/?list=all","Mega Shark vs. Mecha Shark","null"
"1525943565-18774","https://bechdeltest.com/?list=all","What to Expect When You're Expecting","null"
"1525943565-23690","https://bechdeltest.com/?list=all","King Kong vs. Godzilla","null"
"1525943565-17733","https://bechdeltest.com/?list=all","Black Sea","null"
"1525943565-21122","https://bechdeltest.com/?list=all","Cabin Fever","null"
"1525943565-19238","https://bechdeltest.com/?list=all","Eat Me!","null"
"1525943565-18740","https://bechdeltest.com/?list=all","Stuck in Love","null"
"1525943565-17346","https://bechdeltest.com/?list=all","Suicide Squad","null"
"1525943565-18068","https://bechdeltest.com/?list=all","Afternoon Delight","null"
"1525943565-17371","https://bechdeltest.com/?list=all","Warcraft","null"
"1525943565-20724","https://bechdeltest.com/?list=all","Sophie Scholl - Die letzten Tage","null"
"1525943565-17382","https://bechdeltest.com/?list=all","7 Letters","null"
"1525943565-24044","https://bechdeltest.com/?list=all","Rope","null"
"1525943565-17644","https://bechdeltest.com/?list=all","They Call Me Jeeg Robot","null"
"1525943565-19794","https://bechdeltest.com/?list=all","Up in the Air","null"
"1525943565-18589","https://bechdeltest.com/?list=all","Hitchcock","null"
"1525943565-20373","https://bechdeltest.com/?list=all","Brother Bear 2","null"
"1525943565-19040","https://bechdeltest.com/?list=all","Polisse","null"
"1525943565-23723","https://bechdeltest.com/?list=all","Mysterious Island","null"
"1525943565-22460","https://bechdeltest.com/?list=all","Paprika","null"
"1525943565-18308","https://bechdeltest.com/?list=all","Nazotoki wa Dinner no Ato de (The After-Dinner Mysteries)","null"
"1525943565-23937","https://bechdeltest.com/?list=all","Fear and Desire","null"
"1525943565-22979","https://bechdeltest.com/?list=all","An Officer and a Gentleman","null"
"1525943565-17225","https://bechdeltest.com/?list=all","Hush","null"
"1525943565-21011","https://bechdeltest.com/?list=all","Identity","null"
"1525943565-19836","https://bechdeltest.com/?list=all","The Bank Job","null"
"1525943565-18366","https://bechdeltest.com/?list=all","The Secret Life of Walter Mitty","null"
"1525943565-17617","https://bechdeltest.com/?list=all","Slow Learners","null"
"1525943565-21586","https://bechdeltest.com/?list=all","Being John Malkovich","null"
"1525943565-22592","https://bechdeltest.com/?list=all","Millennium","null"
"1525943565-24497","https://bechdeltest.com/?list=all","Snow White","null"
"1525943565-23129","https://bechdeltest.com/?list=all","Kramer vs. Kramer","null"
"1525943565-23289","https://bechdeltest.com/?list=all","Godzilla vs. Mechagodzilla","null"
"1525943565-18142","https://bechdeltest.com/?list=all","Despicable Me 2","null"
"1525943565-21569","https://bechdeltest.com/?list=all","The 4th Floor","null"
"1525943565-17709","https://bechdeltest.com/?list=all","Appropriate Behavior","null"
"1525943565-18461","https://bechdeltest.com/?list=all","Amour","null"
"1525943565-17912","https://bechdeltest.com/?list=all","My Old Lady","null"
"1525943565-21790","https://bechdeltest.com/?list=all","SLC Punk!","null"
"1525943565-18527","https://bechdeltest.com/?list=all","Decay","null"
"1525943565-24532","https://bechdeltest.com/?list=all","The Music Lover","null"
"1525943565-20537","https://bechdeltest.com/?list=all","Tales from the Grudge","null"
"1525943565-22017","https://bechdeltest.com/?list=all","Scream","null"
"1525943565-19451","https://bechdeltest.com/?list=all","Turbulent Skies","null"
"1525943565-24540","https://bechdeltest.com/?list=all","As Seen Through A Telescope (a.k.a The Professor and His Field Glass)","null"
"1525943565-17055","https://bechdeltest.com/?list=all","Power Rangers","null"
"1525943565-20136","https://bechdeltest.com/?list=all","Dark Mirror","null"
"1525943565-23916","https://bechdeltest.com/?list=all","Johnny Guitar","null"
"1525943565-23162","https://bechdeltest.com/?list=all","Halloween","null"
"1525943565-20588","https://bechdeltest.com/?list=all","Brick","null"
"1525943565-19930","https://bechdeltest.com/?list=all","The House Bunny","null"
"1525943565-23997","https://bechdeltest.com/?list=all","The Flying Saucer","null"
"1525943565-22373","https://bechdeltest.com/?list=all","Howards End","null"
"1525943565-23398","https://bechdeltest.com/?list=all","The Last Picture Show","null"
"1525943565-19053","https://bechdeltest.com/?list=all","Rio","null"
"1525943565-19769","https://bechdeltest.com/?list=all","Surrogates","null"
"1525943565-23445","https://bechdeltest.com/?list=all","Two Mules for Sister Sara","null"
"1525943565-20718","https://bechdeltest.com/?list=all","Single White Female 2: The Psycho","null"
"1525943565-24436","https://bechdeltest.com/?list=all","Wings","null"
"1525943565-20924","https://bechdeltest.com/?list=all","The SpongeBob SquarePants Movie","null"
"1525943565-20991","https://bechdeltest.com/?list=all","Finding Nemo","null"
"1525943565-22688","https://bechdeltest.com/?list=all","Babette's Feast","null"
"1525943565-22202","https://bechdeltest.com/?list=all","The Little Rascals","null"
"1525943565-20206","https://bechdeltest.com/?list=all","Lars and the real Girl","null"
"1525943565-18910","https://bechdeltest.com/?list=all","From Prada to Nada","null"
"1525943565-23718","https://bechdeltest.com/?list=all","The Innocents","null"
"1525943565-16968","https://bechdeltest.com/?list=all","El Camino Christmas","null"
"1525943565-19323","https://bechdeltest.com/?list=all","Leading Ladies","null"
"1525943565-19177","https://bechdeltest.com/?list=all","BearCity","null"
"1525943565-24558","https://bechdeltest.com/?list=all","La fee aux choux","null"
"1525943565-20343","https://bechdeltest.com/?list=all","Another Gay Movie","null"
"1525943565-24067","https://bechdeltest.com/?list=all","Deception","null"
"1525943565-18085","https://bechdeltest.com/?list=all","Bad Words","null"
"1525943565-16943","https://bechdeltest.com/?list=all","Captain Underpants: The First Epic Movie","null"
"1525943565-19342","https://bechdeltest.com/?list=all","Middle Men","null"
"1525943565-22952","https://bechdeltest.com/?list=all","Hercules","null"
"1525943565-24478","https://bechdeltest.com/?list=all","The Kid","null"
"1525943565-22086","https://bechdeltest.com/?list=all","First Knight","null"
"1525943565-19784","https://bechdeltest.com/?list=all","Triangle","null"
"1525943565-21860","https://bechdeltest.com/?list=all","For Richer or Poorer","null"
"1525943565-22091","https://bechdeltest.com/?list=all","GoldenEye","null"
"1525943565-19727","https://bechdeltest.com/?list=all","Pandorum","null"
"1525943565-21065","https://bechdeltest.com/?list=all","The School of Rock","null"
"1525943565-19327","https://bechdeltest.com/?list=all","Letters to Juliet","null"
"1525943565-21446","https://bechdeltest.com/?list=all","Bread and Roses","null"
"1525943565-22764","https://bechdeltest.com/?list=all","F/X","null"
"1525943565-20894","https://bechdeltest.com/?list=all","Primer","null"
"1525943565-22103","https://bechdeltest.com/?list=all","La flor de mi secreto","null"
"1525943565-17602","https://bechdeltest.com/?list=all","Ricki and the Flash","null"
"1525943565-19246","https://bechdeltest.com/?list=all","Essential Killing","null"
"1525943565-21555","https://bechdeltest.com/?list=all","Unbreakable","null"
"1525943565-21403","https://bechdeltest.com/?list=all","Swordfish","null"
"1525943565-23703","https://bechdeltest.com/?list=all","The Trial","null"
