web-scraper-order,web-scraper-start-url,result-src
"1525943706-27253","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-30777","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-29385","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-26349","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-29714","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-27358","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-31950","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-27176","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-30403","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-25732","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-30671","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-29222","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-26615","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-27868","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-25313","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-31653","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-30441","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-27333","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-25781","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-26118","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-26470","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-30584","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-30085","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-31678","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-31912","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-27536","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-25075","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-29496","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-31137","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-28237","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-29822","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-30492","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-25621","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-25956","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-27444","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-30828","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-25394","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-30869","https://bechdeltest.com/?list=all","/static/nopass.png"
"1525943706-29884","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-25675","https://bechdeltest.com/?list=all","/static/pass.png"
"1525943706-30177","https://bechdeltest.com/?list=all","/static/pass.png"
